state,district,year,quarter,registered_users,app_opens
Andhra Pradesh,west godavari district,2019,3,662102,14227407
Andhra Pradesh,chittoor district,2019,3,1032733,34638738
Andhra Pradesh,east godavari district,2019,4,1195228,38299189
Andhra Pradesh,srikakulam district,2019,4,496266,16353822
Andhra Pradesh,visakhapatnam district,2019,4,1620235,70749983
Andhra Pradesh,prakasam district,2019,4,673522,21639748
Andhra Pradesh,anantapur district,2019,4,873033,30278539
Andhra Pradesh,kurnool district,2019,4,846885,29676997
Andhra Pradesh,guntur district,2019,4,1158708,37846179
Andhra Pradesh,krishna district,2019,4,1199971,39407473
Andhra Pradesh,spsr nellore district,2019,4,697154,23608360
Andhra Pradesh,vizianagaram district,2019,4,443810,17515311
Andhra Pradesh,ysr district,2019,4,646642,21543798
Andhra Pradesh,west godavari district,2019,4,750078,19393528
Andhra Pradesh,chittoor district,2019,4,1156351,44888591
Andhra Pradesh,east godavari district,2020,1,1329664,46142746
Andhra Pradesh,srikakulam district,2020,1,552007,20975989
Andhra Pradesh,visakhapatnam district,2020,1,1763581,77558624
Andhra Pradesh,prakasam district,2020,1,748655,26870693
Andhra Pradesh,anantapur district,2020,1,971850,36900103
Andhra Pradesh,kurnool district,2020,1,936293,34198350
Andhra Pradesh,guntur district,2020,1,1289678,45282758
Andhra Pradesh,krishna district,2020,1,1331602,46079408
Andhra Pradesh,spsr nellore district,2020,1,775440,28879364
Andhra Pradesh,vizianagaram district,2020,1,490683,21562104
Andhra Pradesh,ysr district,2020,1,717865,26166193
Andhra Pradesh,west godavari district,2020,1,843835,24542868
Andhra Pradesh,chittoor district,2020,1,1270907,51354573
Andhra Pradesh,east godavari district,2020,2,1459116,45884498
Andhra Pradesh,srikakulam district,2020,2,608002,23808009
Andhra Pradesh,visakhapatnam district,2020,2,1904719,69684456
Andhra Pradesh,prakasam district,2020,2,830709,32255276
Andhra Pradesh,anantapur district,2020,2,1076953,39704703
Andhra Pradesh,kurnool district,2020,2,1035093,36268390
Andhra Pradesh,guntur district,2020,2,1426271,44267596
Andhra Pradesh,krishna district,2020,2,1459041,41234166
Andhra Pradesh,spsr nellore district,2020,2,854459,30816403
Andhra Pradesh,vizianagaram district,2020,2,537798,24370380
Andhra Pradesh,ysr district,2020,2,796769,29644037
Andhra Pradesh,west godavari district,2020,2,944829,26583613
Andhra Pradesh,chittoor district,2020,2,1385916,49820171
Andhra Pradesh,east godavari district,2020,3,1601940,64292857
Andhra Pradesh,srikakulam district,2020,3,667858,31794753
Andhra Pradesh,visakhapatnam district,2020,3,2058346,102589371
Andhra Pradesh,prakasam district,2020,3,915240,44970519
Andhra Pradesh,anantapur district,2020,3,1186851,55714787
Andhra Pradesh,kurnool district,2020,3,1132240,49164718
Andhra Pradesh,guntur district,2020,3,1567595,62427501
Andhra Pradesh,krishna district,2020,3,1599289,61028114
Andhra Pradesh,spsr nellore district,2020,3,937176,43951448
Andhra Pradesh,vizianagaram district,2020,3,587784,31199437
Andhra Pradesh,ysr district,2020,3,877909,41578067
Andhra Pradesh,west godavari district,2020,3,1053674,38126238
Andhra Pradesh,chittoor district,2020,3,1506503,69462572
Andhra Pradesh,east godavari district,2020,4,1746280,82605352
Andhra Pradesh,srikakulam district,2020,4,726761,36770992
Andhra Pradesh,visakhapatnam district,2020,4,2209658,124730170
Andhra Pradesh,prakasam district,2020,4,999462,52839846
Andhra Pradesh,anantapur district,2020,4,1295872,69562398
Andhra Pradesh,kurnool district,2020,4,1230466,60615045
Andhra Pradesh,guntur district,2020,4,1712940,81291172
Andhra Pradesh,krishna district,2020,4,1744028,81787771
Andhra Pradesh,spsr nellore district,2020,4,1022944,54765443
Andhra Pradesh,vizianagaram district,2020,4,634462,35110885
Andhra Pradesh,ysr district,2020,4,959182,49596303
Andhra Pradesh,west godavari district,2020,4,1163179,51170162
Andhra Pradesh,chittoor district,2020,4,1631331,88232999
Andhra Pradesh,east godavari district,2021,1,1878769,91478749
Andhra Pradesh,srikakulam district,2021,1,782604,40590058
Andhra Pradesh,visakhapatnam district,2021,1,2368081,135908324
Andhra Pradesh,prakasam district,2021,1,1075936,56911479
Andhra Pradesh,anantapur district,2021,1,1394849,73375049
Andhra Pradesh,kurnool district,2021,1,1323411,65326230
Andhra Pradesh,guntur district,2021,1,1843237,92731167
Andhra Pradesh,krishna district,2021,1,1876458,92941553
Andhra Pradesh,spsr nellore district,2021,1,1100541,60691988
Andhra Pradesh,vizianagaram district,2021,1,681621,37752539
Andhra Pradesh,ysr district,2021,1,1032689,53525815
Andhra Pradesh,west godavari district,2021,1,1254117,57392671
Andhra Pradesh,chittoor district,2021,1,1751420,99083825
Andhra Pradesh,east godavari district,2021,2,2006272,84705076
Andhra Pradesh,srikakulam district,2021,2,837958,43740255
Andhra Pradesh,visakhapatnam district,2021,2,2526830,114313154
Andhra Pradesh,prakasam district,2021,2,1151232,76850749
Andhra Pradesh,anantapur district,2021,2,1492738,104568606
Andhra Pradesh,kurnool district,2021,2,1415585,81894678
Andhra Pradesh,guntur district,2021,2,1968681,88248064
Andhra Pradesh,krishna district,2021,2,2002662,85771678
Andhra Pradesh,spsr nellore district,2021,2,1176334,74049216
Andhra Pradesh,vizianagaram district,2021,2,729509,42684475
Andhra Pradesh,ysr district,2021,2,1103004,72255265
Andhra Pradesh,west godavari district,2021,2,1339377,65118788
Andhra Pradesh,chittoor district,2021,2,1870723,110505432
Andhra Pradesh,east godavari district,2021,3,2150622,103626560
Andhra Pradesh,srikakulam district,2021,3,902008,48622126
Andhra Pradesh,visakhapatnam district,2021,3,2707931,139540800
Andhra Pradesh,prakasam district,2021,3,1239147,91533813
Andhra Pradesh,anantapur district,2021,3,1606735,124985545
Andhra Pradesh,kurnool district,2021,3,1522196,101210508
Andhra Pradesh,guntur district,2021,3,2110878,106621413
Andhra Pradesh,krishna district,2021,3,2145423,104358295
Andhra Pradesh,spsr nellore district,2021,3,1263550,90102349
Andhra Pradesh,vizianagaram district,2021,3,784444,46277311
Andhra Pradesh,ysr district,2021,3,1183377,86369956
Andhra Pradesh,west godavari district,2021,3,1436576,80244808
Andhra Pradesh,chittoor district,2021,3,2007011,135043395
Andhra Pradesh,east godavari district,2021,4,2294347,142536856
Andhra Pradesh,srikakulam district,2021,4,965335,61654215
Andhra Pradesh,visakhapatnam district,2021,4,2888774,188757640
Andhra Pradesh,prakasam district,2021,4,1325728,86410317
Andhra Pradesh,anantapur district,2021,4,1719437,120768682
Andhra Pradesh,kurnool district,2021,4,1628242,97379271
Andhra Pradesh,guntur district,2021,4,2252443,130920743
Andhra Pradesh,krishna district,2021,4,2288148,134436469
Andhra Pradesh,spsr nellore district,2021,4,1349290,90814672
Andhra Pradesh,vizianagaram district,2021,4,839606,56101822
Andhra Pradesh,ysr district,2021,4,1262963,83534122
Andhra Pradesh,west godavari district,2021,4,1532898,100007280
Andhra Pradesh,chittoor district,2021,4,2141818,154395512
Andhra Pradesh,east godavari district,2022,1,2432305,87134562
Andhra Pradesh,srikakulam district,2022,1,1027283,46691467
Andhra Pradesh,visakhapatnam district,2022,1,3061324,88803090
Andhra Pradesh,prakasam district,2022,1,1408929,104851997
Andhra Pradesh,anantapur district,2022,1,1827094,155792533
Andhra Pradesh,kurnool district,2022,1,1729513,119653214
Andhra Pradesh,guntur district,2022,1,2387051,88844052
Andhra Pradesh,krishna district,2022,1,2423373,85871644
Andhra Pradesh,spsr nellore district,2022,1,1431664,101671767
Andhra Pradesh,vizianagaram district,2022,1,892889,44804002
Andhra Pradesh,ysr district,2022,1,1339782,98878499
Andhra Pradesh,west godavari district,2022,1,1626039,87642475
Andhra Pradesh,chittoor district,2022,1,2270705,144146671
Andhra Pradesh,east godavari district,2022,2,2564165,93383888
Andhra Pradesh,srikakulam district,2022,2,1086164,51087942
Andhra Pradesh,visakhapatnam district,2022,2,3226029,93552701
Andhra Pradesh,prakasam district,2022,2,1487589,108172758
Andhra Pradesh,anantapur district,2022,2,1928213,181499094
Andhra Pradesh,kurnool district,2022,2,1825280,136447455
Andhra Pradesh,guntur district,2022,2,2514794,91997209
Andhra Pradesh,krishna district,2022,2,2552107,95341487
Andhra Pradesh,spsr nellore district,2022,2,1509927,108755384
Andhra Pradesh,vizianagaram district,2022,2,943242,50230853
Andhra Pradesh,ysr district,2022,2,1412848,106157470
Andhra Pradesh,west godavari district,2022,2,1714357,103338893
Andhra Pradesh,chittoor district,2022,2,2392549,158771722
Andhra Pradesh,east godavari district,2022,3,2702234,85780890
Andhra Pradesh,srikakulam district,2022,3,1147016,46323107
Andhra Pradesh,visakhapatnam district,2022,3,3397514,87888969
Andhra Pradesh,prakasam district,2022,3,1567520,114185009
Andhra Pradesh,anantapur district,2022,3,2030824,181038520
Andhra Pradesh,kurnool district,2022,3,1924127,143715547
Andhra Pradesh,guntur district,2022,3,2647100,91146114
Andhra Pradesh,krishna district,2022,3,2685215,86220959
Andhra Pradesh,spsr nellore district,2022,3,1588875,105928407
Andhra Pradesh,vizianagaram district,2022,3,995141,46767889
Andhra Pradesh,ysr district,2022,3,1487140,107976611
Andhra Pradesh,west godavari district,2022,3,1805967,97509407
Andhra Pradesh,chittoor district,2022,3,2517657,162524274
Andhra Pradesh,east godavari district,2022,4,2835087,173720880
Andhra Pradesh,srikakulam district,2022,4,1204785,72666058
Andhra Pradesh,visakhapatnam district,2022,4,3566854,208604256
Andhra Pradesh,prakasam district,2022,4,1642503,94432083
Andhra Pradesh,anantapur district,2022,4,2128066,136685634
Andhra Pradesh,kurnool district,2022,4,2018290,105333688
Andhra Pradesh,guntur district,2022,4,2774365,144773169
Andhra Pradesh,krishna district,2022,4,2813645,156902257
Andhra Pradesh,spsr nellore district,2022,4,1663684,103101986
Andhra Pradesh,vizianagaram district,2022,4,1044490,64406405
Andhra Pradesh,ysr district,2022,4,1556901,93975668
Andhra Pradesh,west godavari district,2022,4,1893310,129116752
Andhra Pradesh,chittoor district,2022,4,2636036,189655966
Andhra Pradesh,east godavari district,2023,1,2965296,98931582
Andhra Pradesh,srikakulam district,2023,1,1263204,48743038
Andhra Pradesh,visakhapatnam district,2023,1,3732544,107253885
Andhra Pradesh,prakasam district,2023,1,1719910,112502189
Andhra Pradesh,anantapur district,2023,1,2228505,177793392
Andhra Pradesh,kurnool district,2023,1,2114023,149581663
Andhra Pradesh,guntur district,2023,1,2900895,103514892
Andhra Pradesh,krishna district,2023,1,2941585,98727644
Andhra Pradesh,spsr nellore district,2023,1,1740294,111993275
Andhra Pradesh,vizianagaram district,2023,1,1094782,55519223
Andhra Pradesh,ysr district,2023,1,1628595,109842928
Andhra Pradesh,west godavari district,2023,1,1980446,102965151
Andhra Pradesh,chittoor district,2023,1,2755784,164669558
Andhra Pradesh,east godavari district,2023,2,3082893,101375784
Andhra Pradesh,srikakulam district,2023,2,1317771,48040159
Andhra Pradesh,visakhapatnam district,2023,2,3877504,115516314
Andhra Pradesh,prakasam district,2023,2,1792637,104288559
Andhra Pradesh,anantapur district,2023,2,2323796,164437247
Andhra Pradesh,kurnool district,2023,2,2202517,142843895
Andhra Pradesh,guntur district,2023,2,3014655,97915941
Andhra Pradesh,krishna district,2023,2,3054956,99723659
Andhra Pradesh,spsr nellore district,2023,2,1811781,113350865
Andhra Pradesh,vizianagaram district,2023,2,1141578,55405616
Andhra Pradesh,ysr district,2023,2,1694843,98586928
Andhra Pradesh,west godavari district,2023,2,2059880,116005083
Andhra Pradesh,chittoor district,2023,2,2865250,170462384
Andhra Pradesh,east godavari district,2023,3,3211557,83823834
Andhra Pradesh,srikakulam district,2023,3,1375950,44064462
Andhra Pradesh,visakhapatnam district,2023,3,4035323,116087299
Andhra Pradesh,prakasam district,2023,3,1868997,94303883
Andhra Pradesh,anantapur district,2023,3,2421293,152875757
Andhra Pradesh,kurnool district,2023,3,2295754,124493256
Andhra Pradesh,guntur district,2023,3,3137289,71855007
Andhra Pradesh,krishna district,2023,3,3177643,73280755
Andhra Pradesh,spsr nellore district,2023,3,1887005,73583227
Andhra Pradesh,vizianagaram district,2023,3,1190571,41978556
Andhra Pradesh,ysr district,2023,3,1764648,78787151
Andhra Pradesh,west godavari district,2023,3,2146530,73274852
Andhra Pradesh,chittoor district,2023,3,2981337,129032458
Andhra Pradesh,east godavari district,2023,4,3329036,143550882
Andhra Pradesh,srikakulam district,2023,4,1430226,48122562
Andhra Pradesh,visakhapatnam district,2023,4,4180797,163404880
Andhra Pradesh,prakasam district,2023,4,1939979,69411660
Andhra Pradesh,anantapur district,2023,4,2512744,123617506
Andhra Pradesh,kurnool district,2023,4,2383042,86461750
Andhra Pradesh,guntur district,2023,4,3251121,132403935
Andhra Pradesh,krishna district,2023,4,3291814,121925706
Andhra Pradesh,spsr nellore district,2023,4,1956706,78993397
Andhra Pradesh,vizianagaram district,2023,4,1236735,42889385
Andhra Pradesh,ysr district,2023,4,1829864,69721701
Andhra Pradesh,west godavari district,2023,4,2227243,86297777
Andhra Pradesh,chittoor district,2023,4,3089391,143201818
Andhra Pradesh,east godavari district,2024,1,3465605,70700482
Andhra Pradesh,srikakulam district,2024,1,1492803,25384857
Andhra Pradesh,visakhapatnam district,2024,1,4349723,183432261
Andhra Pradesh,prakasam district,2024,1,2022873,57134465
Andhra Pradesh,anantapur district,2024,1,2619335,121235223
Andhra Pradesh,kurnool district,2024,1,2484451,115346032
Andhra Pradesh,guntur district,2024,1,3382454,82606973
Andhra Pradesh,krishna district,2024,1,3423998,59203320
Andhra Pradesh,spsr nellore district,2024,1,2037823,73245409
Andhra Pradesh,vizianagaram district,2024,1,1289838,45744793
Andhra Pradesh,ysr district,2024,1,1905157,75306755
Andhra Pradesh,west godavari district,2024,1,2319971,59978637
Andhra Pradesh,chittoor district,2024,1,3214678,110865896
Andhra Pradesh,east godavari district,2024,2,3597667,70529565
Andhra Pradesh,srikakulam district,2024,2,1551988,27503934
Andhra Pradesh,visakhapatnam district,2024,2,4515738,221069497
Andhra Pradesh,prakasam district,2024,2,2099814,61269760
Andhra Pradesh,anantapur district,2024,2,2720387,120912449
Andhra Pradesh,kurnool district,2024,2,2580812,93496809
Andhra Pradesh,guntur district,2024,2,3508719,56640987
Andhra Pradesh,krishna district,2024,2,3552494,52309743
Andhra Pradesh,spsr nellore district,2024,2,2114324,69447820
Andhra Pradesh,vizianagaram district,2024,2,1340999,48299033
Andhra Pradesh,ysr district,2024,2,1976516,59839679
Andhra Pradesh,west godavari district,2024,2,2409237,45912661
Andhra Pradesh,chittoor district,2024,2,3335024,134049145
Andhra Pradesh,east godavari district,2024,3,1167720,59935362
Andhra Pradesh,srikakulam district,2024,3,971036,17599044
Andhra Pradesh,visakhapatnam district,2024,3,2487971,32301176
Andhra Pradesh,sri potti sriramulu nellore district,2024,3,1446214,86081128
Andhra Pradesh,kurnool district,2024,3,1209238,116758872
Andhra Pradesh,guntur district,2024,3,1695537,23423512
Andhra Pradesh,krishna district,2024,3,800410,23684301
Andhra Pradesh,annamayya district,2024,3,920716,87262138
Andhra Pradesh,ananthapuramu district,2024,3,1320379,174845086
Andhra Pradesh,vizianagaram district,2024,3,897899,32261276
Andhra Pradesh,tirupati district,2024,3,1870882,40985457
Andhra Pradesh,alluri sitharama raju district,2024,3,292488,178406258
Andhra Pradesh,nandyal district,2024,3,900737,72969773
Andhra Pradesh,sri sathyasai district,2024,3,883584,98352753
Andhra Pradesh,palnadu district,2024,3,963840,76909163
Andhra Pradesh,prakasam district,2024,3,1166571,98216415
Andhra Pradesh,parvathipuram manyam district,2024,3,301205,30111342
Andhra Pradesh,dr br ambedkar konaseema district,2024,3,788204,48563272
Andhra Pradesh,bapatla district,2024,3,703301,39373168
Andhra Pradesh,ntr district,2024,3,1953695,47433380
Andhra Pradesh,kakinada district,2024,3,1293864,26508076
Andhra Pradesh,anakapalli district,2024,3,860834,29977574
Andhra Pradesh,ysr district,2024,3,1209820,71588398
Andhra Pradesh,west godavari district,2024,3,1017107,18906686
Andhra Pradesh,eluru district,2024,3,1066558,69927623
Andhra Pradesh,chittoor district,2024,3,955493,58045203
Andhra Pradesh,east godavari district,2024,4,1202680,70992699
Andhra Pradesh,srikakulam district,2024,4,1000848,50503455
Andhra Pradesh,visakhapatnam district,2024,4,2566650,135700425
Andhra Pradesh,sri potti sriramulu nellore district,2024,4,1485904,95296811
Andhra Pradesh,kurnool district,2024,4,1243710,69757232
Andhra Pradesh,guntur district,2024,4,1749346,93254969
Andhra Pradesh,krishna district,2024,4,821763,43757281
Andhra Pradesh,annamayya district,2024,4,945246,67118152
Andhra Pradesh,ananthapuramu district,2024,4,1358486,105608573
Andhra Pradesh,vizianagaram district,2024,4,922107,53108897
Andhra Pradesh,tirupati district,2024,4,1927263,120835456
Andhra Pradesh,alluri sitharama raju district,2024,4,302981,32628930
Andhra Pradesh,nandyal district,2024,4,924312,52595448
Andhra Pradesh,sri sathyasai district,2024,4,905055,105894571
Andhra Pradesh,palnadu district,2024,4,988882,59206517
Andhra Pradesh,prakasam district,2024,4,1199895,69401816
Andhra Pradesh,parvathipuram manyam district,2024,4,308844,15107951
Andhra Pradesh,dr br ambedkar konaseema district,2024,4,809552,37840561
Andhra Pradesh,bapatla district,2024,4,721054,42884719
Andhra Pradesh,ntr district,2024,4,2010922,127291705
Andhra Pradesh,kakinada district,2024,4,1333623,72916150
Andhra Pradesh,anakapalli district,2024,4,883659,74150140
Andhra Pradesh,ysr district,2024,4,1242179,77109426
Andhra Pradesh,west godavari district,2024,4,1048900,63906091
Andhra Pradesh,eluru district,2024,4,1099358,61712408
